entry_id,headword,pdlma,attribution_entry,analysis_codes_raw,verb_class,irregular,sense_id,definition_en,definition_es,semantic_domain,etymology,attribution_sense,habitual,potential,completive,progressive,perfect,future,counterfactual,andative,documented_tam_count,example_count,example_1,example_1_es,example_2,example_2_es
usiracha,rusiracha,-u-si-racha,EJG;RLC;VP,vA:caus,A,NO,1997,To tangle (lit. to cause to become entangled).,Enmarañar (lit. hacer que se enmarañe).,actions,,,r.u-si-racha,,,,,,,,1,1,Rusiracha bi (gu)icha ique binnì.,El aire alborota el pelo de la gente.,,
usiriga,rusiriga,-u-si-riga,VC,vA:caus,A,NO,1998,To empty (lit. to cause become empty or hollow).,Vaciarlo (lit. hacer que se haga vacío o hueco).,actions,,,r.u-si-riga,g.u-si!-riga,bi-si-riga,,,,,,3,0,,,,
usirolla,rusirolà,-u-si-rolla*,JLC;RLC,vA:caus,A,NO,1999,"To cause to become swollen in a round, bulging shape.",Hacer que se hinche o se inflame en forma de bola.,actions,,,r.u-si-rolla*,g.u-si!-rolla*,bi-si-rolla*,,,,,,3,1,Bisirolà Fán ra laga Fàna tàntu bí'na'.,Juan hizo que se le hincharan los ojos a Juana de tanto llorar.,,
usirooba,rusirooba',-u-si-rooba,EJG;RLC;VP,vA:caus,A,NO,2000,To make something big or increase in size.,"Agrandarlo, hacerlo grande, hacerlo crecer.",actions,,,r.u-si-rooba,g.u-si!-rooba,bi-su-rooba,,,,,,3,2,Bisurooba'be lidxi jmá.,Agrandó su casa (de él o ella).,Rusirooba' binnì bihui.,La gente pone en engorda a los marranos.
usiroote,rusirootè',-u-si-roote*,JLC;ND;VC,vA:caus,A,NO,2001,"To cause to become penniless, to clean out.","Hacer que se quede sin dinero, desvalijarlo.",actions,,,,,,,,,,,0,0,,,,
usiropa,rusiropa,-u-si-ropa,EJG;ND;RLC;VP,vA:caus,A,NO,2002,"To duplicate, to repeat, to double (lit. to cause to become two).","Duplicar, repetir (lit. hacer que se duplique).",actions,,,ru-si-roopa; r.u-su-ropa,g.u-si!-ropa,bi-si-ropa,,,,,,3,3,Bisuropani xtì' buèlta.,Repitelo de nuevo.,Rusuropa Ròsa diidxa'.,Rosa repite las palabras.
usiru,rusiru,-u-si-ru,JLC;RLC,vA:caus,A,NO,2003,To cause to cough.,Hacer toser.,actions,,,r.u-si-ru,g.u-si!-ru,bi-si-ru,,,,,,3,1,Rusiru gu'xhu' gueza Pèdru.,El humo de cigarro hace toser a Pedro.,,
usisyaasi,rusisiaasi',-u-si-s.y.aasi,EJG;JLC;RLC;VP,vA:caus,A,NO,2004,"To put to sleep, to cause drowsiness (lit. to cause to sleep).","Dormirlo, adormecer, dar sopor (lit. hacer dormir).",actions,,,r.u-si-s.y.aasi,g.u-si!-s.y.aasi,bi-si-s.y.aasi,,,,,,3,4,Qué rusisiaasi'.,No lo puede hacer dormir.,Qué rusisiaasi'.,No da sueño.
usisaka,rusisaca,-u-si-saka,EJG;JLC;RLC;VC;VP,vA:caus,A,NO,2005,"To value, to appreciate, to recognize the value of (lit. to cause to value).","Valorar, valorizar, apreciar, reconocer el valor de algo o alguien (lit. hacer valer).",actions,,,r.u-si-saka,g.u-si!-saka,bi-su-saka,,,,,,3,6,Bisusacabe dxita xtìbe.,Vendió sus huevos muy caros. (lit. sobrevaluó sus huevos),Bisusaca Fán Fàna.,Juan valoró a Juana.
usisisi,rusisisi,-u-si-sisi,EJG;JLC;RLC;VP,vA:caus,A,NO,2006,"To lighten (ex. to cause to become light, i.e. not heavy).","Alivianar, aligerar (lit. hacerlo liviano o ligero).",actions,,,r.u-su-sisi,g.u-su!-sisi,bi-su-sisi,,,,,,3,3,Rusisi Fán xpùltu Fàna.,Juan le aligera el bulto a Juana.,Rususisìcabe cuba pán.,(De tanto amasar la masa) queda la masa suavecita y ligerita.
usisoo,rusisoo,-u-si-soo,EJG;RLC;VP,vA:caus,A,NO,2007,To cause to become tall.,Hacerse crecer de altura (lit. hacerlo alto).,actions,,,r.u-si-soo,g.u-su!-soo,bi-si-soo,,,,,,3,1,Rusisooca'be yoo.,Hace más alta la casa (ej. le pone un piso adicional).,,
usitaaba,rusitaaba',-u-si-taaba,EJG;ND;RLC;VP,vA:caus,A,NO,2008,To cause to become flattened or dented.,"Achatar, aplastar, abollar (lit. hacer que se abolle).",actions,,,r.u-si-taaba,g.u-su!-taaba,bi-si-taaba,,,zu-si-taakaba; ~ zu-si-taaba,,,4,1,Bisitaaba' Fán càja òra cuì' Fán luni.,Abolló Juan la caja cuando se sentó en ella.,,
usitaaka,rusitaacà',-u-si-taaka*,EJG;ND,vA:caus,A,NO,2009,"To smash, to dent (lit. to cause to become smashed or dented).","Apachurrar, sumir, abollar (lit. hacer que se apachurre, se suma o se abolle).",actions,,,,,,,,z.u-si-taaka*,,,1,1,Zutaaca'; Zusitaaca'.,Apachurrará; Aplastará.,,
usitaata,rusitaata',-u-si-taata,EJG;RLC;VP,vA:caus,A,NO,2010,"To cause to become loose, misaligned or off kilter.","Aflojar, desajustar (lit. hacer que se afloje).",actions,,,r.u-si-taata,g.u-si!-taata,bi-su-taata,,,,,,3,1,Rusutaata'be doo xtì' bizuudi' xtì' Olivia.,Ella afloja la cinta de la nagua de Olivia.,,
usiteede,rusiteedè',-u-si-teede*,EJG;ND;RLC,vA:caus,A,NO,2011,To bruise fruit.,Mallugar la fruta.,actions,,,r.u-su-teede*,g.u-si!-teede*,bi-si-teede*,,,,,,3,1,Bisuteedè' Fán cuananaxhi.,Magulló Juan la fruta (por apretarla cuando está sazón).,,
usitende,rusitendè,-u-si-tende*,EJG;ND;RLC,vA:caus,A,NO,2012,To cause to become unsteady when standing or walking.,Hacer que se tambalee al estar de pie o caminar.,actions,,,r.u-si-tende*,g.u-si!-tende*,bi-si-tende*,,,,,,3,1,Rusitendè nisa dxú'ni' binnì.,El mezcal debilita a la gente.,,
usitipa,rusitipa,-u-si-tipa,EJG;JLC;ND;RLC;VP,vA:caus,A,NO,2013,"To stretch, to tense, to make taut.","Estira, tensar, templar.",actions,,,r.u-si-tipa; ~ r.u-zu-tipa; ~ r.u-zi-tipa,g.u-si!-tipa; ~ g.u-zi-tipa,bi-si-tipa; ~ bi-zu-tipa,,,,,,3,2,Rusitipabe guicha lucuabe para gùnibe còla.,Se estira el cabello de la frente para hacerse la cola de caballo.,Rusitipabe icha lucuabe para gùnibe còla.,Se estira el cabello de la frente para hacer su cola de caballo.
usitipi,rusitipi,-u-si-tipi,EJG;RLC,vA:caus,A,NO,2014,To shorten (lit. to make short).,"Recortar, acortar (lit. hacerlo corto).",actions,,,r.u-si-tipi,gu-si!-tipi,bi-si-tipi,k.u-si!-tipi,,,,,4,0,,,,
usituumbu,rusituumbu',-u-si-tuumbu,RGL;RLC,vA:caus,A,NO,2015,To pout.,Hacer puchero.,actions,,,r.u-si-tuumbu,g.u-si!-tuumbu,bi-si-tuumbu,k.u-si!-tuumbu,,,,,4,3,Bisutuumbu'be.,Hizo puchero él.,Bisutuumbu' xcuídi ruaa.,Hizo puchero el niño.
usituutu,rusituutu',-u-si-tuutu,EJG;ND;RLC,vA:caus,A,NO,2016,"To cause one to lose their youthful complexion and instead become gaunt, flaccid, or worn out.","Hacer que pierde la complexión joven y se ponga enjuto, flácido, o acabado.",wellness,,,r.u-si-tuutu,g.u-si!-tuutu,bi.si=tuutu,,,,,,3,1,Binnì yooxho' ni guidxaàgà' nahuiini' de gandè iza rusutuutu'ca'be laaca rutopàca'be irà' (gue)nda nayooxho' xtì' binnì yooxho'.,"Gente mayor que se junta con una joven de veinte años, lo envejece, (la muchacha) recoje la vejez de la persona mayor.",,
usitwilu,rusitui lu,-u-si-twi # lu,EJG;RGL;RLC;VP,vA:caus,A,NO,2017,"To embarrass, to cause shame.","Avergonzar, hacer que sienta pena o vergüenza.",actions,,,r.u-si-twi # lu,g.u-si!-twi # lu,bi-si-twi # lu,,,,,,3,1,Bisitui Fán lu José.,Juan avergonzó a José.,,
usiwaawa,rusihuaahua',-u-si-waawa,EJG;RLC;VP,vA:caus,A,NO,2018,To loosen (lit. to cause to become flaccid or baggy).,"Aflojar (lit. hacerlo flácido, holgado o guango).",actions,,,r.u-si-waawa,g.u-si!-waawa,bi-si-waawa,,,,,,3,1,Rusihuaahua' ladi binnì òra guiéte de tàntu ngòla.,Se aguada todo su cuerpo de la gente cuando bajan de peso si estaban muy gordos.,,
usiwati,rusihuatì,-u-si-wati*,EJG;RLC;VP,vA:caus,A,NO,2019,"To stun, to stupefy (lit. to cause to become stupid).","Atontar, atolondrar (lit. hacerlo tonto).",wellness,,,ru-si-wati*,g.u-si!-wati*,bi-si-wati*,,,,,,3,1,Rusihuatì nisa dxú'ni' binnì.,El mezca atonta a la gente.,,
