ID,Description,Entry_ID,Attribution,Andative,Completive,Counterfactual,Etymology,Future,Habitual,Perfect,Potential,Progressive,Semantic_Domain,alt_translation1
4253,Fresh water fish found in estuaries and rivers. It is black in color and is known in Spanish as popoyote.,dunu71,,,,,,,,,,,animals,Pez de agua dulce que se encuentra en los esteros y en los ríos. Es de color negro y se le conoce en castellano como popoyote.
4254,Chubby person.,dunu72,,,,,,,,,,,animals,Persona regordeta.
4255,Female doctor.,dutora,,,,,,,,,,,occupations,"Doctora, médica."
4256,"Print, track.",duuba-2,EJG;JLC,,,,,,,,,,phenomena,"Huella, rastro."
4257,Signature.,duubala,,,,,,,,,,,names,Firma.
4258,Feather.,duubi,,,,,,,,,,,animals,Pluma de ave.
4259,Young corn plant at three to five days from sprouting.,duuza,,,,,,,,,,,plants,Milpita tierna que tiene de tres a cinco días de haber brotado.
4260,"Sharp, in reference to a blade. By extension, the way a person might be aggressive, or bothersome as when the sun is too strong.",duxu7,JLC;RGL;RLC,,,,,,,,,,character attributes,"Afilado, filoso. Por extensión, agresivo como podría ser una persona, o que molesta como el sol fuerte."
4261,With a sharp point.,duxu7bizu,,,,,,,,,,,manner,Puntiagudo.
4262,With an aggressive look.,duxu7lu,,,,,,,,,,,physical attributes,De mirada agresiva.
4263,Magical creature who takes children out to the woods to play. Only children can see them but everyone can see their tracks.,dwende,,,,,duende,,,,,,spirituality,"Duende que se lleva a los niños a jugar en el monte. Solo los niños le ven, pero todos pueden ver sus huellas."
4264,"Atop, on top.",dxi7ba-2,,,,,,,,,,,position,"Subido, encimado, trepado."
4265,Forearm.,dxi7bana7,,,,,,,,,,,body parts,Antebrazo.
4266,Sound of a rat nest bursting.,dxa-2,,,,,,,,,,,sound symbolism,Sonido de un nido de ratas reventando.
4267,Sound of a wet shoe when stepping on the ground.,dxakjhdxakjhdxakjh,,,,,,,,,,,sound symbolism,Sonido que hace un zapato mojado al pisar.
4268,Sound of a fishing net being thrown.,dxaradxara,RLC,,,,,,,,,,sound symbolism,Sonido de una red de pescar siendo lanzada.
4269,"Changed. Perhaps by extension or association, this participle may mean coldly or with displeasure, especially in relation to how someone speaks.",dxa7,JLC,,,,,,,,,,character attributes,"Cambiado. Quizá por extensión o asociación, también se usa para describir frialdad o desagrado, sobre todo refiriéndose a la manera de hablar."
4270,Whipped.,dxa7wi,,,,,,,,,,,processes,Batido.
4271,Sound of rapid footsteps.,dxawdxawdxaw,,,,,,,,,,,sound symbolism,Sonido de pasos apresurados.
