ID,Description,Entry_ID,Attribution,Andative,Completive,Counterfactual,Etymology,Future,Habitual,Perfect,Potential,Progressive,Semantic_Domain,alt_translation1
763,To come crashing down.,diinyentaa,,,bi-d.iinye*=nta^a,,,,ri-d.inye*=nta^a,,gi-d.ii*nye*=nta^a,,motion,Caer de golpe.
764,To reject with disdain.,diinyeyu,EJG;JLC;RLC,,bi-diinye*=yu,,,,ri-diinye* yu,,gi-d.ii*nye*=yu,,manner,Rechazar con desprecio.
765,"To be pulled, to be carried in, to be sucked in. By extension, to be smoked, in the sense of a cigar or cigarette being smoked.",du7ba,,,gu-d.u7ba; ~ bi-d.u7ba,,,za-d.u7ba,ri-d.u7ba,,gi-d.u!7ba,ka-d.u!7ba,change of state,"Jalarse, acarrearse, chuparse. Por extensión, fumarse."
766,To be dragged on the floor.,du7bayu,,,bi-d.u7ba=yu,,,,ri-d.u7ba=yu,,gi-d.u!7ba=yu,,change of state,Arrastrarse por el piso.
767,"To be tied, to be roped, to be lassoed.",duunye,,,bi-d.uunye,,,,ri-d.uunye,,gi-d.u!unye,,manner,"Lazarse, ser enlazado, amarrarse, ser amarrado."
768,To be scratched.,duunye-2,RLC,,bi-d.uunye*,,,,ri-d.uunye*,,gi-d.uu*nye*,,change of state,"Rascarse, rasguñarse."
769,"To tighten up, to become tight.",dye,,,bi-d.ye,,,,ri-d.ye,,gi-d.ye! (),,change of state,Apretarse.
770,"Spring up, flow, in reference to a liquid.",da,,,bi-da*,,,,ri-da*,,gi-da* (I),ka-da*,change of state,"Manar, brotar, dicho de un líquido."
771,"To be filled up, in reference to a liquid in a container. By extension, to fill up with pus, for a wound to become infected.",daa,EJG;JLC;RLC,,bi-daa,,,,ri-daa,,gi-da!a (),ka-da!a,change of state,"Llenarse de líquido, ej. un recipiente, una olla. Por extensión, llenarse de pus, infectarse, dicho de una herida."
772,For teeth to be set on edge.,daabindaanilaya,,,,,,,,,,,change of state,Destemplarse los dientes.
773,To receive advice (lit. for the ear to be filled up).,daadyaga,,,bi-daa # dyaga,,,,ri-daa # dyaga,,gi-da!a # dyaga,,communication,Ser aconsejado (lit. llenarse el oído).
774,"Infection of a toenail from a blow. This condition is associated with heat. To treat it, the foot is soaked in hot water with salt and three or four flowers of the species Nerium oleander.",daanyee,,,,,,,,,,,wellness,"Infectarse la uña del pie por un golpe. Esta afección se considera caliente. Para aliviarla, se suele remojar el pie en agua caliente con sal y tres o cuatro flores de rosa clavel (Nerium oleander)."
775,To receive a threat.,daazha7na,,,bi-daa # zha^7na,,,,ri-daa # zha7na,,gi-da!a # zha7na,,actions,Ser amenazado.
776,To receive advice to the point of saturation (lit. for the nose to be filled up).,daazhii,,,,,,,ri-d.aa # zhii,,,,change of state,Ser aconsejado hasta la saciedad (lit. llenarse la nariz).
777,"To become lodged or stuck, as in the case of a splinter or a thorn under the skin.",daabi-2,,,bi-daabi*,,,,ri-daabi*,,gi-daa*bi*,,change of state,"Enterrarse, encajarse, clavarse, sumirse (ej. una espina)."
778,"To become flattened, to become dented.",daadxi,,,bi-daadxi,,,,ri-daadxi,,gi-da!adxi (),,change of state,"Achatarse, aplastarse, abollarse."
779,To be emptied out.,dachi,EJG;JLC;RGL;RLC,,bi-dachi*,,,,ri-dachi*,,gi-da*chi*,,change of state,Vaciarse.
780,"For money to become plentiful. By extension, to become rich.",dallexpidxichi,,,bi-dalle*=x-pi-dxichi,,,,ri-dalle*=x-pi-dxichi,,gi-da*lle*=x-pi-dxichi,,subsistence,"Hacerse abundante el dinero. Por extensión, enriquecerse."
781,To be in quarters or in a set of four.,dapa,,,bi-da!pa,,,,ri-dapa,,gi-da!pa,,states,Hacerse en cuatro.
782,"To turn into dust or ashes, to be pulverized.",de,,,bi-de,,,za-de,ri-de,,gi-de!,ka-de!,change of state,"Hacerse polvo o ceniza, pulverizarse."
783,To be attentive.,deendela7dxi,,,bi-deende la7dxi,,,,rideende la7dxi,,,,states,"Ocuparse, preocuparse."
784,"To pass through, to pass by, to overtake.",di7di,,,gu-di7di,,,,ri-di7di,,t.idi!7,,actions,"Rebasar, atravesar, pasar."
785,For the eyes or vision to become bleary.,di7dixkaapalu,,,gu-di7di x.kaa*pa* lu,,,,ri-di7di x.kaa*pa* lu,,t.idi!7 x.kaa*pa* lu,,actions,Hacerse nublada la vista.
786,"To faint, especially due to hunger.",di7dibi,,,gu-di7di=bi,,,,ri-di7di=bi,,,,wellness,"Desfallecer, sobre todo por hambre."
787,For a due date to pass.,di7didxi,,,gu-di7di=dxi,,,,ri-di7di=dxi,,t.idi!7=dxi,,time,"Pasarse el día, llegar la fecha límite, vencerse el plazo."
788,"To pass by quietly, without causing a stir.",di7didxi-2,,,gu-di7di=dxi*,,,,ri-di7di=dxi*,,t.idi!7=dxi*,,states,"Pasar tranquilamente, sin causar conmoción."
789,"To cross, to go across, to lie across.",di7dilaaga,,,gu-di7di=laaga,,,,ri-di7di=laaga,,t.idi!7=laaga; ~ didi!7 laaga,,motion,"Atravesarse, cruzarse."
790,To take a quick glance at.,di7dilu,,,gu-di7di=lu,,-di7di,,ri-di7di=lu,,t.idi!7=lu,,perception,Echarle un vistazo.
791,To go overboard on something.,di7dina7,,,gu-di7di=na*7,,,,ri-di7di=na*7,,t.idi!7=na*7,,actions,"Pasársele la mano, excederse."
792,To have diarrhea.,di7dindaani,,,gu-di7di=ndaani,,,,ri-di7di=ndaani,,t.idi!7=ndaani,,wellness,"Tener diarrea, soltarse el estómago."
793,To go too far.,di7disu,,,,,,,ri-di7di=su,,t.idi!7=su,,actions,"Pasarse, excederse."
794,To neglect one's own care.,di7dixi,,,gu-di7di=xi,,,,ri-di7di=xi,,t.idi!7=xi,,wellness,Descuidarse.
795,For the optimal time for harvest or ripening of a fruit to pass.,di7diya,,,gu-di7di=ya,,,,ri-di7di=ya,,t.idi!7=ya,,cultivation,Pasarse el momento de maduración de una fruta o de una cosecha.
796,"To miscarry, to have an abortion.",di7dizhiinyi,VC,,gu-di7di=zhiinyi,,,,ri-di7di=zhiinyi,,t.idi!7=zhiinyi,,actions,"Abortar un embarazo, ya sea de manera espontánea o inducida."
797,"To poke out, to stick out.",didi,,,,,,,,,gi-di*di*;  ri-didi*;  bi-didi*,,change of state,"Salirse, sobresalir, extenderse más allá de un límite o de un contenedor."
798,"To fight. By extension, eclipse, given that it is defined as a battle between the sun and the moon.",dinde,RLC,,gu-dinde*,,,,ri-dinde*,,t.i*nde* (I),ka-di*nde*,states,"Pelearse. Por extensión, eclipse, puesto que se define como una batalla entre el sol y la luna."
799,"This phrasal verb describes an eclipse, defined as a battle between the sun and the moon.",dindebeewunegubidxa,,,,,,,,,,,phenomena,"Este verbo de frase describe un eclipse, puesto que se define como una batalla entre el sol y la luna."
800,To fight verbally.,dindediidxa,RGL;RLC,,gu-dinde*=di^idxa,,,,ri-dinde*=di^idxa,,ti*nde*=di^idxa,ka-di*nde*=di^idxa,communication,Pelearse con palabras.
801,To remain asleep even after the sun has risen. Some speakers use this verb phrase to describe someone with a broad forehead.,dindegubidxa,,,gu-dinde*=gu-bidxa,,,,ri-dinde*=gu-bidxa,,t.i*nde*=gu-bidxa,,states,Quedarse dormido aún después de que el sol haya salido. Algunos también usan este verbo de frase para describir a una persona de frente amplia.
802,To scold someone.,dindene,,,gu-dinde*=ne*,,,,ri-dinde*=ne*,,t.i*nde*=ne*,,communication,Regañarlo.
803,To be sexually aroused.,dipa,EJG,,bi-dipa,,,,ri-dipa,,gi^-di!pa,ka-di!pa,change of state,Excitarse sexualmente.
804,To calm down.,do7,,,bi-do7,,,za-do7,ri-do7,,gi-do!7,ka-do!7,change of state,"Calmarse, apaciguarse, tranquilizarse."
805,To calm down (lit. for the liver to calm down).,do7la7dxi,,,bi-do7=la7dxi,,,,ri-do7=la7dxi,,gi-do!7=la7dxi,,change of state,"Calmarse, apaciguarse, tranquilizarse (lit. calmarse el hígado)."
806,To be sold.,doo,,,bi-doo,,,za-doo,ri-doo,,gi^-do!o,ka-do!o,change of state,Venderse.
807,"To gather onto itself, to retract onto itself, to curl up.",dopa,RLC,,bi-dopa*,,,,ri-dopa*,,gi-do*pa* (I),,change of state,"Recogerse, encogerse, enrollarse."
808,"To gather, to accumulate.",dopalu,,,bi-dopa*=lu,,,,ri-dopa*=lu,,gi-do*pa*=lu,,actions,"Recogerse, juntarse, acumularse."
809,For people to crowd.,dopazisi,,,bi-dopa*=zisi,,,,ri-dopa*=zisi,,gi-do*pa*=zisi,,change of state,"Juntarse o aglomerarse, con relación a gente."
810,"To be submerged, to sink, to be overtaken by water. By extension, to be consumed, to run out.",dubi,EJG;JLC;RLC,,bi-dubi,,,za-dubi,ri-dubi,,gi-du!bi (),ka-du!bi,change of state,"Sumergirse, hundirse, ser consumido por el agua. Por extensión, gastarse, consumirse, acabarse."
811,"To move over, to move to the side, to move out of the way.",duuba,,,bi-duuba,,,za-duuba,ri-duuba,,gi-du!uba (),ka-du!uba,change of state,"Arrimarse, quitarse, hacerse a un lado."
812,"To be solicited, to be hired, to be rented.",duuna,,chi!+ duuna*,bi-duuna*,,,,ri-duuna*,,gi-duu*na*,kaduu*na*,commerce,"Solicitarse, contratarse, alquilarse."
813,To request a spiritual cleansing.,duunadxiibi,,,bi-duuna* # dxii*bi*,,,,ri-duuna* # dxii*bi*,,gi-duu*na* # dxii*bi*,ka-duu*na* # dxii*bi*,spirituality,"Solicitar para santiguar, curar de espanto o hacer una limpia."
814,To meet up. This verb phrase is often used as a farewell expression.,duunandanu,,,,,,,,,,,actions,"Encontrarse, verse. Esta frase verbal se utiliza con frecuencia a manera de despedida."
815,"To be loved, to be adored, to be appreciated.",duunaxii,,,bi-duuna=xii*,,,,ri-duuna*=xii*,,gi-duu*na*=xii*,ka-duu*na=xii*,states,"Querérsele, amársele, adorársele, estimársele."
816,To become sharp.,duxu,RLC,,bi-duxu,,,,ri-duxu,,gi-du!xu (),,change of state,Afilarse.
817,"To bark. By extension, to admonish, to reprimand, to scold.",duxu-2,,,bi-duxu*,,,,ri-duxu*,,gi-du*xu* (I),,actions,"Ladrar. Por extensión, amonestar, reprender, regañar."
818,To be filled up.,dxa,RLC,,bi-dxa,,,za-dxa,,,gi-dxa! (),,change of state,Llenarse.
819,"To be filled up with air, to become inflated.",dxabi,JLC,,bi-dxa # bi,,,za-dxa # bi,ri-dxa # bi,,gi-dxa! # bi,,change of state,"Llenarse de aire, inflarse."
820,"To bulge, to become distended.",dxabumbu,,,bi-dxa # bumbu*,,,,ri-dxa # bumbu*,,gi-dxa! # bumbu*,,change of state,Abombarse.
821,To swell.,dxagi,RLC,,bi-dxa # gi,,,za-dxa # gi,ri-dxa # gi,,gi-dxa! # gi,,actions,"Hincharse, inflamarse."
822,"To fill up the belly. By extension, to become pregnant.",dxandaani,,,,,,,ri-dxa=ndaani,,,,actions,"Llenar la barriga. Por extensión, embarazarse."
823,To become full to the limit or to the point of distension.,dxatipa,RLC,,,,,,ri-dxa tipa,,,,change of state,"Llenarse hasta el tope, colmarse tanto que se expande."
824,"To change, to exchange.",dxaa,,,bi-dxaa,,,,ri-dxaa,,gi-dxa!a (),,change of state,"Cambiarse, intercambiarse."
825,"To warm up, to become hot.",dxaa-2,,,bi-dxaa*,,,za-dxaa*,ri-dxaa*,,gi-dxaa*,,change of state,Calentarse.
826,"To accompany someone, to join someone, to go with someone. By extension, to go well or look well with certain clothes.",dxaaga,,,bi-dxaaga*,,,,ri-dxaaga*,,gi-dxaa*ga* (I),ka-dxaa^ga*,actions,"Acompañarse, juntarse con alguien, ir con alguien. Por extensión, verse bien con una ropa."
827,To get together to fish as a group.,dxaagabenda,,,,,,,,,,ka-dxaa*ga* # benda,manner,Juntarse para pescar de manera colectiva.
828,For a group of people to make a collective and organized purchase of corn.,dxaaganiza,,,,,,,,,,ka-dxaa*ga* # niza,cultural practices,Comprar la mazorca de manera grupal y organizada.
829,"To meet up, to run into each other.",dxaagalu,RLC,,bi-dxaaga*=lu^,,,,ri-dxaaga*=lu^,,gi-dxaa*ga*=lu^,,actions,"Encontrarse, cruzarse o toparse con alguien."
830,To be whipped.,dxaawi,,,bi-dxaawi,,,,ri-dxaawi,,gi-dxa!awi (),,processes,Batirse.
831,"To become angry, irritable, aggressive or mean.",dxaba7,,,bi-dxaba!7,,,,ri-dxaba!7,,gi-dxaba!7,,change of state,"Enojarse, ponerse irascible, hacerse agresivo o malo."
832,"To get tired, to become fatigued.",dxaga,,,bi-dxaga,,,,ri-dxaga,,gi-dxa!ga (),ka-dxa!ga,change of state,"Cansarse, fatigarse."
833,To become exhausted.,dxagadxe7,RGL,,bi-dxaga=dxe7,,,,ri-dxaga=dxe7,,gi-dxa!ga=dxe7,ka-dxa!ga=dxe7,change of state,Agotarse.
834,To have the need to fart.,dxagakinde,,,bi-dxaga=ki*nde*,,,,ri-dxaga=ki*nde*,,gi-dxa!ga=ki*nde*,,states,Tener ganas de echar un pedo.
835,To have the need to urinate.,dxaganesa,,,bi-dxaga=nesa*,,,,ri-dxaga=nesa*,,gi-dxa*ga*=nesa*,,states,Tener ganas de orinar.
836,To yawn.,dxagaxkaanda,,,bi-dxaga=x.kaanda,,,,ri-dxaga=x.kaanda,,gi-dxa*ga*=x.ka^anda,,actions,Bostezar.
837,To have the need to poop.,dxagaxuuna,,,,,,,ri-dxaga=xuu*na*,,gi-dxa*ga*=xuu*na*,,states,Tener ganas de cagar.
838,"To be amazed, to marvel, to be surprised.",dxagayaa,,,bi-dxaga yaa,,,,ri-dxaga yaa,,gi-dxa!ga yaa,,change of state,"Asombrarse, maravillarse, sorprenderse."
839,"To change, to turn into something else. By extension, to become altered, to go crazy.",dxe,,,bi-dxe,,,za-dxe,ri-dxe,,gi-dxe!,ka-dxe!,change of state,"Cambiar, convertirse, tornarse (lit. hacerse otro). Por extensión, alterarse, alocarse."
840,To become wet.,dxe7,RLC,,bi-dxe7,,,,ri-dxe7,,gi-dxe!7,,change of state,Mojarse.
841,To suffer from a mental health disorder (lit. for the head to empty).,dxeike,,,bi-dxe=ike,,,za-dxe=ike,ri-dxe=ike,,gi-dxe!,ka-dxe!=ike,actions,Padecer de algún trastorno de salud mental (lit. vaciarse la cabeza).
842,To become lightheaded or disoriented (lit. for the face/eyes to empty).,dxelu,RLC,,bi-dxe=lu,,,za-dxe=lu,ri-dxe=lu,,,ka-dxe!=lu ,actions,"Marearse, desorientarse (lit. vaciarse la cara/los ojos)."
843,To behave in an irrational or capricious way (lit. for the buttocks to empty).,dxezha7na,,,bi-dxe=zha7na,,,za-dxe=zha7na,ri-dxe=zha7na,,gi-dxe!=zha7na,ka-dxe!=zha7na,actions,"Comportarse de manera irracional, caprichosa, berrinchuda o sin juicio (lit. vaciarse las nalgas)."
844,"To find, to locate.",dxela,,,bi-dxela; ~ gu-dxela,,,,ri-dxela,,gi-dxe!la,,actions,"Encontrar, hallar, localizar, ubicar."
845,"To meet up with someone, run into someone, or face someone. By extension, to crash into someone, argue with someone, or fight with someone.",dxelasaa,RLC,,bi-dxela=saa,ni-dxe!la=saa,,,ri-dxela=saa,,gi-dxe!la=saa,ka-dxe!la saa,actions,"Encontrarse con alguien, toparse con alguien, enfrentarse con alguien. Por extensión, chocar, pelear."
846,"To be late, as in the time of day or in regards to a schedule.",dxi,,,bi-dxi,,,,ri-dxi,,gi-dxi!,,change of state,Hacerse tarde.
847,"Dusk. By extension, when someone suffers a tragedy they can use this metaphorical expression to say that it is the end of the world for them.",dxilayu,,,bi-dxi la=yu,,,,ri-dxi la=yu,,gi-dxi! la=yu,,phenomena,"Atardecer. Por extensión, cuando alguien sufre una tragedia puede usar esta expresión figurada para decir que se le acaba el mundo."
848,To throw up.,dxi7ba,EJG;JLC;RLC,,bi-dxi7ba,,,,ri-dxi7ba,,gi-dxi!7ba (),ka-dxi!7ba,wellness,Vomitar.
849,"To be afraid, to be afraid of something.",dxibi,,,bi-dxibi,,,,ri-dxibi,,gi-dxi^bi (),ka-dxi!bi,states,"Temer, temerle."
850,"To drive something in, ex. to hammer a nail in, to dig a knife into something, etc.",dxiga7,,,,,,,,,,,actions,Clavarlo.
851,"To cover, to block.",dxii,EJG;JLC;RLC,,bi-dxii,,,za-dxii,ri-dxii,,gi-dxi!i (),ka-dxi!i,actions,"Tapar, cubrir."
852,For dusk or darkness to set in (lit. for Earth to be covered).,dxiilayu,,,bi-dxii la=yu,,,za-dxii la=yu,ri-dxii la=yu,,gi-dxi!i la=yu,ka-dxi!i la=yu,phenomena,"Anochecer, oscurecer (lit. taparse la Tierra)."
853,To love.,dxii-2,,,bi-dxii*,,,,ri-dxii*,,gi-dxii* (I),,emotion,"Querer, amar."
854,To become bare and therefore smooth after having lost hair or feathers.,dxiibi,JLC;RGL,,bi-dxiibi,,,,ri-dxiibi,,gi-dxi!ibi,,change of state,"Alisarse, por haber perdido el pelo o las plumas."
855,To get angry.,dxiichi,RLC,,bi-dxiichi*,,,,ri-dxiichi*,,gi-dxii*chi* (I),ka-dxii*chi*,change of state,Enojarse.
856,To become viscerally angry (lit. for the liver to get angry).,dxiichila7dxi,,,bi-dxiichi*=la7dxi,,,,ri-dxiichi*=la7dxi,,gi-dxii*chi*=la7dxi,,emotion,Enojarse de manera visceral (lit. enojarse el hígado).
857,To have a nightmare (lit. to work during one's sleep).,dxiinyaxpakaanda,,,bi-dxiinya # x.pa-kaanda,,,,ri-dxiinya # x.pa-kaanda,,gi-dxi!inya # x.pa-kaanda,,cognition,Tener una pesadilla (lit. trabajar en el sueño de uno).
858,"To be agitated, to be restless (lit. for the liver to work).",dxiinyala7dxi,RLC,,bi-dxiinya=la7dxi; ~ gu-dxinya=la7dxi,,,,ri-dxiinya la7dxi,,gi-dxi!inya=la7dxi,,states,"Estar agitado, estar inquieto, no poder dormir (lit. trabajar el hígado)."
859,To head towards.,dxinya,,,bi-dxinya,,,,ri-dxinya,,gi-dxi!nya,,actions,Dirigirse a/hacia.
860,To decrease in quantity.,dxunu,RLC,,bi-dxunu,,,za-dxunu,ri-dxunu,,gi-dxu!nu (),,measure and quantity,"Aminorarse, reducirse en cantidad."
861,"To drip, to leak.",dxuuni1,RLC,,bi-dxuuni,,cf. /tzun/ 'gotear',za-dxuuni,ri-dxuuni,,gi-dxu!uni (),,states,"Gotearse, filtrarse."
862,To be fried.,dxuuni2,EJG;JLC,,bi-dxuuni,,cf. /tzun/ 'gotear',za-dxuuni,ri-dxuuni,,gi-dxu!uni (),,processes,Freírse.
863,"To drain, to drip, to filter through, to distill.",dxuuninisa,JLC;RLC,,bi-dxuuni # nisa,,,,ri-dxuuni # nisa,,gi-dxu!uni # nisa,,states,"Escurrirse, filtrarse, destilarse."
864,To seep through a crack.,dxuunidxa7cha,,,bi-dxuuni=dxa7cha,,,,ri-dxuuni=dxa7cha,,gi-dxu!uni=dxa7cha,,manner,Filtrarse a través de una grieta.
865,To be burned.,dxwi7,,,bi-dxwi7,,,za-dxwi7,ri-dxwi7,,gi-dxwi!7 (),,actions,Quemarse.
866,"To stir, to mix, to whip, in reference to cooking techniques.",dxyee,,,,,,,ri-dxyee,,gi-dxye!e,,processes,"Batir, remover, menear."
867,"To become tight. By extension, to hug each other, to squeeze each other.",dye-2,EJG;JLC;RLC,,bi-dye; ~ gu-dye,,,za-dye,ri-dye,,gi-dye! (),ka-dye!,change of state,"Apretarse. Por extensión, abrazarse, estrujarse."
868,To make love (lit. to tighten).,dyeni,,,bi-dye,,,,,,gi-dye!;  ri-dye,,actions,Hacer el amor (lit. se aprieta).
869,"To become painted, colored or dyed.",dyee,,,bi-dyee,,,za-dyee,ri-dyee,,gi-dye!e (),ka-dye!e,change of state,"Pintarse, colorearse, teñirse."
870,"To drink, to absorb, to ingest.",e7,EJG;RGL;RLC,,gw.e7,,,z.e7,r.e7,,g.e*7 (I),ka-y.e!7,actions,"Beber, tomar, ingerir, absorber."
871,To soak up a smell.,e7xo7,,,gw.e7 # xo7,,,,r.e7 # xo7,,g.e*7 # xo7 (I),,actions,"Absorber un olor, impregnarse de un olor."
872,To gulp down.,e7diti,,,g-w.e7=diti,,,,,,g.e*7=diti  r-e7=diti,,actions,Beber de un solo trago.
873,To drink sip by sip.,e7kaadxiga,,,gw.e7=kaadxi*=ga,,,,r.e7=kaadxi*=ga,,g.e*7=ka^adxi*=ga (I),,actions,Beber poco a poco.
874,To drink or ingest hastily.,e7lugu7,,,gw.e7=lugu!7,,,,r.e7=lugu!7,,g.e*7=lugu!7 (I),,actions,Beber o ingerir de prisa.
875,"To drink or to have breakfast along with some particular food item, or in the company of someone.",e7ne,,,gw.e7=ne*,,,ka-y.e!7=ne*,r.e7=ne*,,g.e*7=ne* (I),,actions,"Beber o desayunar con algún alimento en particular, o bien, en compañía de alguien."
876,To drink alcohol excessively.,e7taata,RLC,,gw.e7=taata,,,,r.e7=taata,,g.e*7=taata (I),,actions,Beber alcohol en exceso.
877,To drink alcohol excessively.,e7waawa,,,gw.e7=waawa,,,,r.e7=waawa,,g.e*7=waawa (I),,actions,Beber alcohol en exceso.
878,To drink alcohol excessively.,e7zya7,,,gw.e7=zya7,,,,r.e7=zya7,,g.e*7=zya^7 (I),,actions,Beber alcohol en exceso.
879,"To come. By extension, to menstruate, to ejaculate.",eeda,,,b.eeda*,,,z.eeda*; ~ z.ee*da*,r.eeda*,,g.ee*da* (I),ka-yee*da*,motion,"Venir. Por extensión, menstruar, eyacular."
880,To follow.,eedananda,,,b.eeda* # n.anda*,,,,r.eeda* # n.anda*,,g.ee*da* # n.anda*,,motion,Seguir.
881,To catch one's breath (lit. for breath to come).,eedaxxye7,,,,,,,r.eeda* xye!7,,,,actions,Recuperar el aliento (lit. venir la respiración).
882,For dawn to arrive (lit. to come to the night).,eedarageela,,,b.eeda* (ra) geela,,,z.eeda* (ra) geela,r.eeda* (ra) geela,,g.ee*da* (ra) geela (I),,phenomena,Amanecer (lit. venir a la noche).
883,For something to come to mind. This verb is equivalent in meaning to the verb to remember.,eedasilu,,,b.eeda* +si* lu,,,,r.eeda* +si* lu,,g.ee*da* +si* lu (I),,cognition,Venirle a la mente. Este verbo tiene un sentido equivalente al de los verbos acordarse y recordar.
884,To come back home.,eedabii,RLC,,b.eeda*=bii; ~ b.eeda*=bi!7,,,,r.eeda*=bii; ~ r.eeda*=bi!7,,g.ee*da*=bii; ~ g.ee*da*=bi!7,,motion,Volver a casa.
885,To come near.,eedadxinya,,,b.eeda*=dxinya,,,,r.eeda*=dxinya,,g.ee*da*=dxinya,,motion,"Acercarse, aproximarse."
886,To remember.,eedala7dxi,EJG;RLC,,,,,,r.eeda*=la7dxi,,,,cognition,"Recordar, acordarse."
887,"For a benefit to reach the person working for it, ex. that which is in the oven baking, or the earnings from a business.",eedalu,,,b.eeda*=lu,,,,r.eeda*=lu,,g.ee*da*=lu,,experience,"Llegarle a uno un beneficio por el cual está trabajando, ej. lo que se está horneando o la ganancia de un negocio."
888,To regret.,eedamalaya,,,b.eeda*=ma*la!ya,,malaya,,r.eeda*=ma*la!ya,,g.ee*da*=ma*la!ya,,emotion,Arrepentirse.
889,To arrive.,eedanda,EJG;JLC,,b.eeda*=nda*,,,z.eeda=nda*,r.eeda*=nda*,,g.ee*da*=nda*,,motion,"Llegar, arribar."
890,To bring along.,eedane,,,b.eeda*=ne*,,,,r.eeda*=ne*,,g.ee*da*=ne*,,travel and transportation,Traer consigo.
891,To come near.,eedanu,,,,ny.ee*da*=nu*,,zeeda*=nu*,r.eeda=nu*,,,,motion,"Acercarse, aproximarse."
892,To come to tell something.,eedatidxi,,,b.eeda*=ti*dxi*,,,,r.eeda*=ti*dxi*,,g.ee*da*=ti*dxi*,,motion,"Venir a decir, venir a avisar."
893,"To regain consciousness, to come to one's senses (lit. for light to come).",eedaxpyaani,RLC,,b.eeda*=x.p.y.aani,,,,r.eeda*=x.p.y.aani,,g.ee*da*=x.p.y.aani,,cognition,"Recuperar el conocimiento, volverle el juicio (lit. volver su luz)."
894,To menstruate (lit. for their lunar cycle to arrive).,eedaxpeewu,,,b.eeda*=x.pe^ewu*,,,,r.eeda=x.peewu*,,g.ee*da*=x.pe^ewu* [,,actions,Menstruar (lit. llegar su ciclo lunar).
895,For pain to come back.,eedaxyuuba,,,b.eeda*=x.yu^uba,,,,r.eeda*=x.yuuba,,g.eeda*=x.yuuba,,wellness,Volver el dolor.
896,For a scent to become perceptible (lit. for a smell to arrive).,eedaxo7,RGL;RLC,,b.eeda*=xo7,,,,r.eeda*=xo7,,g.ee*da*=xo7,,perception,Llegar un olor.
897,To come for a stroll.,eedaza,,,b.eeda*=za*,,,,r.eeda=za*,,g.ee*da*=za*,,motion,Venir a pasear.
898,To come in a hurry.,eedazhoo,RLC,,b.eeda*=zhoo,,,,r.eeda*=zho!o,,g.ee*da*=zhoo,,motion,Venir con prisa.
899,"To touch, to feel with the hands, to palpate, to paw, to finger.",ga7na,,,gu-d.a7na,,,za-g.a7na,ri-g.a7na,,k.ana!7 (I),ka-g.a!7na,actions,"Tocar, tentar, palpar, manosear."
900,To pour.,gaa,,,gu-d.aa,,,,ri-g.aa,,k.a!7 (I),,actions,"Echar, verter o regar un líquido."
901,To advise (lit. to pour into the ear).,gaadyaga,,,,,,,ri-g.aa # dyaga,,k.a!7 # dyaga,,communication,Dar un consejo (lit. verter dentro del oído).
902,"To rub, to massage.",gaabi,,,gu-d.aabi,,,,ri-g.aabi,,k.a!7bi,ka-g.a!abi,actions,"Sobarlo, masajearlo."
903,"To rub or to massage with the hand. By extension, to hit with the hand.",gaabina7,EJG;JLC;RLC,,,,,,ri-g.aabi=na*7,,,,actions,"Sobarlo o masajearlo con la mano. Por extensión, golpearlo con la mano."
904,To cool down.,gaanda,,,bi-g.aanda,,,,ri-g.aanda,,gi-g.a!anda (),,change of state,"Enfriarse, refrescarse."
905,"To dig, to burrow. By extension, to interrogate.",gaanye,,,gu-d.aanye*,,,,ri-g.aanye*,,k.aa*nye* (I),,actions,"Escarbarlo, cavarlo. Por extensión, interrogarlo."
906,"To slap or smack. This refers to various types of hitting actions of the hand as in spanking, flattening and shaping tortilla dough, hitting palm leaves when installing a thatched roof, or to certain actions of the hand when weaving.",gapa,JLC;RLC,,gu-d.apa*,,,za-g.apa*,ri-g.apa*,,k.a*pa* (I),ka-g.a^pa*,actions,"Golpear con la mano o dar manotazos. Se refiere a la acción de golpear con la mano, nalguear o cachetear, pero también se refiere a cuando se tortea la masa para formar la tortilla, cuando se golpea la palma al instalar un techo, o a la acción de las manos al realizar ciertos tejidos."
907,To clap.,gapana7,,,gu-d.apa=na*7,,,,ri-g.apa=na*7,,k.apa!=na*7,ka-g.a!pa=na*7,actions,Aplaudir.
908,"To flap the wings, to flutter.",gapaxxyaa,JLC,,gu-d.apa*=x.xyaa*,,,,ri-g.apa*=x.xyaa*,,k.a*pa*=x.xyaa*,,motion,"Aletear, revolotear."
909,To do a cleansing on a person who has suffered a traumatic experience.,gapayu,,,gu-d.apa*=yu,,,za-g.apa*=yu ,ri-g.apa*=yu,,k.a*pa*=yu,ka-g.a*pa*=yu,wellness,"Curar de espanto, hacer una limpia, santiguar."
910,"To spank. By association, to express joy over someone else's misfortune.",gapazha7na,EJG;RGL;RLC,,gu-d.apa*=zha7na,,,,ri-g.apa*=zha^7na,,k.a*pa*=zha7na,ka-g.a*pa*=zha^7na,actions,"Dar una nalgada. Por asociación, alegrarse por la desgracia de otra persona."
911,"To carry, in reference to liquids or granular substances such as sand or grains.",gapi,,+  ri-tapi*; ~   re-tapi*,gu-d.api*,,,,ri-g.api*,,k.a*pi* (I),ka-g.a*pi*,travel and transportation,"Acarrear, dicho de líquidos o de sustancias granulares como la arena o los granos."
