ID,Language_ID,Headword,Part_Of_Speech,Attribution,Additional_Information,PDLMA
udxiirwaa,jzd,rudxiiruaa,v,EJG;ND,vA:caus,-u-dxii=rwaa
udxiibaike,jzd,rudxiiba' ique,v,RGL,vA:caus,-u-dxiiba # ike
udxwi7,jzd,rudxui',v,EJG;JLC;RLC;VP,vA:caus,-u-dxwi7
udxwi7gubidxa,jzd,rudxui' gubidxa,v,EJG,vA:caus,-u-dxwi7 # gu-bidxa
udxyee,jzd,rudxiee,v,EJG;JLC;RGL;RLC;VP,vA:caus,-u-dxyee
udxyeebikwini,jzd,rudxiee bicuini,v,RLC,vA:caus,-u-dxyee # bi-kwini
udxyeezhii,jzd,rudxiee xii,v,EJG,vA:caus,-u-dxyee # zhii
udxyeeguzaa,jzd,rudxiee guzaa,v,EJG,vA:caus,-u-dxyee gu-zaa
udxyeeya,jzd,rudxiee ya,v,EJG,vA:caus,-u-dxyee ya
udxyeezha7na,jzd,rudxiee xa'na',v,EJG,vA:caus,-u-dxyee zha7na
udxyeena7,jzd,rudxieenà',v,EJG;JLC;ND;VP,vA:caus,-u-dxyee=na*7
udxyeenyee,jzd,rudxieeñee,v,EJG;RLC,vA:caus,-u-dxyee=nyee
udxyeela,jzd,rudxieelà',v,ND,vA:caus,-u-dxyeela*
udye-2,jzd,rudie,v,EJG;JLC;ND;VP,vA:caus,-u-dye
udyenilaa,jzd,rudieni laa,v,EJG;RLC,"vA:caus, clq",-u-dye +ni* laa
uga7ga,jzd,ruga'ga',v,EJG;JLC;RLC;VP,vA:caus,-u-g.a7ga
uga7ta,jzd,ruga'ta',v,EJG;JLC;ND;RLC;VP,vA:caus,-u-g.a7ta
uga7tagudaa,jzd,ruga'ta'gudaà,v,RLC,vA:caus,-u-g.a7ta=gu-daa*
uga7takwe7,jzd,ruga'ta'cue',v,RLC,vA:caus,-u-g.a7ta=kwe7
uga7tana,jzd,ruga'ta'na,v,RLC,vA:caus,-u-g.a7ta=na
uga7tarilu,jzd,ruga'ta'rilu,v,RLC,vA:caus,-u-g.a7ta=ri+ lu
ugaagi,jzd,rugaagui',v,EJG;JLC;RGL;RLC;VP,vA:caus,-u-g.aagi
ugaagigiiba,jzd,rugaagui' guiiba',v,RGL,vA:caus,-u-g.aagi # giiba
ugaana,jzd,rugaana',v,EJG;JLC,vA:caus,-u-g.aana
ugaanda,jzd,rugaandà',v,EJG;JLC;RGL;RLC;VP,vA:caus,-u-g.aanda*
ugaani,jzd,rugaani',v,EJG;RLC,vA:caus,-u-g.aani
ugaasa,jzd,rugaasa',v,EJG;JLC;VP,vA:caus,-u-g.aasa
ugabi,jzd,rugabì,v,EJG;JLC,vA:caus,-u-g.abi*
ugadxe,jzd,rugadxe,v,EJG;JLC;VP,vA:caus,-u-g.adxe
ugadxena7,jzd,rugadxe nà',v,EJG;JLC;RLC,vA:caus,-u-g.adxe # na*7
ugadxi,jzd,rugadxi,v,EJG;JLC;RLC;VP,vA:caus,-u-g.adxi
ugaku,jzd,rugacu,v,EJG;JLC;VP,vA:caus,-u-g.aku
ugapa,jzd,rugapa,v,EJG;VC,vA:caus,-u-g.apa
ugapadyuzhi,jzd,rugapà diúxi,v,EJG;JLC;RLC;VP,vA:caus,-u-g.apa* # dyu!zhi
ugawi,jzd,rugahuì,v,EJG;JLC;RLC;VP,vA:caus,-u-g.awi*
ugawibizuudi,jzd,rugahuì bizuudi',v,EJG,vA:caus,-u-g.awi* # bi-zuudi
ugawinisa,jzd,rugahuì nisa,v,EJG;RLC,vA:caus,-u-g.awi* # nisa
ugaze,jzd,rugaze,v,EJG;VP,vA:caus,-u-g.aze
ugazegidi,jzd,rugaze guidi,v,EJG;RLC,vA:caus,-u-g.aze # gidi
ugazelayu,jzd,rugaze layu,v,EJG;RLC,vA:caus,-u-g.aze # la=yu
ugazena7,jzd,rugaze nà',v,EJG,vA:caus,-u-g.aze # na*7
ugazegi,jzd,rugazegui,v,EJG,vA:caus,-u-g.aze=gi
ugazenyee,jzd,rugazeñee,v,JLC;RLC;VP,vA:caus,-u-g.aze=nyee
uge7,jzd,rugue',v,EJG;JLC;VP,vA:caus,-u-g.e7
uge7benenu,jzd,rugue' benènu,v,RGL;RLC,vA:caus,-u-g.e7 # bene*nu
uge7gu7xu,jzd,rugue' gu'xhu',v,JLC;RLC,vA:caus,-u-g.e7 # gu7xu
ugu7babi,jzd,rugu'ba' bi,v,EJG;RLC,vA:caus,-u-g.u7ba # bi
ugu7bageza,jzd,rugu'ba' gueza,v,EJG,vA:caus,-u-g.u7ba # geza
ugu7bayu,jzd,rugu'ba'yu,v,EJG,vA:caus,-u-g.u7ba=yu
ugunadiidxa,jzd,ruguna diidxa',v,EJG;JLC;RLC,vA:caus,-u-g.una # diidxa
ugunye,jzd,ruguñe,v,JLC,vA:caus,-u-g.unye
uguu,jzd,ruguu,v,EJG;RGL;RLC,vA:caus,-u-g.uu
uguubyeke,jzd,ruguu bieque,v,RLC,vA:caus,-u-g.uu # b.y.eke
uguudi,jzd,ruguu dì,v,,vA:caus,-u-g.uu # di*
uguudxinya,jzd,ruguu dxiña,v,RLC,vA:caus,-u-g.uu # dxinya
uguugidi,jzd,ruguu guidi,v,,vA:caus,-u-g.uu # gidi
uguugiiyu,jzd,ruguu guiiyù',v,JLC,vA:caus,-u-g.uu # giiyu*
uguuguna,jzd,ruguu guna,v,RLC,vA:caus,-u-g.uu # guna
uguule7,jzd,ruguu le',v,RLC,vA:caus,-u-g.uu # le7
uguundaaya,jzd,ruguu ndaaya',v,EJG;RLC,vA:caus,-u-g.uu # ndaaya
uguunduyu,jzd,ruguu ndùyù,v,,vA:caus,-u-g.uu # ndu*yu*
uguuzidi,jzd,ruguu zidi,v,,vA:caus,-u-g.uu # zidi
uguugu7xu,jzd,ruguu gu'xhu',v,RLC,vA:caus,-u-g.uu gu7xu
uguunisa,jzd,ruguu nisa,v,,vA:caus,-u-g.uu nisa
uguusenya,jzd,ruguu sèña,v,RGL;RLC,vA:caus,-u-g.uu se*nya
uguubeedxe,jzd,ruguubeedxe',v,RLC,vA:caus,-u-g.uu=beedxe
uguubi,jzd,ruguubi',v,ND,vA:caus,-u-g.uu=bi
uguubya7,jzd,ruguubia',v,JLC;RGL;RLC,vA:caus,-u-g.uu=bya7
uguuchaawi,jzd,ruguuchaahui',v,JLC;RLC,vA:caus,-u-g.uu=chaawi
uguudaata,jzd,ruguudaata',v,,vA:caus,-u-g.uu=daata
uguudutu,jzd,ruguudu'tu,v,,vA:caus,-u-g.uu=dutu
uguufluuchi,jzd,ruguufluùchì',v,,vA:caus,-u-g.uu=fluu*chi*
uguugeta,jzd,ruguugueta,v,RLC,vA:caus,-u-g.uu=geta
uguugi,jzd,ruguugui,v,JLC;RGL;RLC,vA:caus,-u-g.uu=gi
uguujneza,jzd,ruguujneza,v,,vA:caus,-u-g.uu=j.neza
uguuna7,jzd,ruguunà',v,RLC,vA:caus,-u-g.uu=na*7
uguunyee,jzd,ruguuñee,v,,vA:caus,-u-g.uu=nyee
uguuxkachu,jzd,ruguuxcàchu,v,RLC,vA:caus,-u-g.uu=x.ka*chu
uguuxiiwi,jzd,ruguuxhiihui',v,,vA:caus,-u-g.uu=xiiwi
uguuya,jzd,ruguuya',v,RLC,vA:caus,-u-g.uu=ya
uguuzhaike,jzd,ruguuxaique,v,,vA:caus,-u-g.uu=zha+ ike
uguucha,jzd,ruguucha',v,EJG;JLC;ND;RGL;VP,vA:caus,-u-g.uucha
uguuda,jzd,ruguuda',v,EJG;JLC;ND;RGL;VP,vA:caus,-u-g.uuda
uguunye,jzd,ruguuñè',v,JLC;RLC,vA:caus,-u-g.uunye*
ugwa7,jzd,rugua',v,EJG;VP,vA:caus,-u-g.wa7
ugwa7ridxi,jzd,rugua' ridxi,v,EJG;JLC;RGL;VP,vA:caus,-u-g.wa7 # r.idxi
uga,jzd,ruga,v,EJG;RGL;VP,vA:caus,-u-ga
ugagichaike,jzd,ruga (guicha) ique,v,EJG;RGL;RLC,vA:caus,-u-ga # (gicha) ike
uga7tasa,jzd,ruga'ta'sa,v,RLC,vA:caus,-u-ga7ta=sa
ugaandana7,jzd,rugaandà'nà',v,EJG;RLC,vA:caus,-u-gaanda*=na*7
ugaba7,jzd,rugabá',v,EJG;JLC;RGL;RLC;VP,vA:caus,-u-gaba!7
ugaba7ne,jzd,rugabá'nè',v,RLC,vA:caus,-u-gaba!7=ne*
ugu7ba,jzd,rugu'ba',v,RLC,vA:caus,-u-gu7ba
ugu7bazhii,jzd,rugu'ba'xii,v,VP,vA:caus,-u-gu7ba=zhii
uguna,jzd,ruguna,v,JLC;RLC,vA:caus,-u-guna
ugunalisaa,jzd,ruguna lisaa,v,EJG,vA:caus,-u-guna li-saa
uguuxkwagu,jzd,ruguu xcuàgù,v,RLC,vA:caus,-u-guu # x.kwa*gu*
uguuchadoo,jzd,ruguucha' doo,v,EJG,vA:caus,-u-guucha doo
uguuchanaaze,jzd,ruguucha' naaze,v,EJG;ND,vA:caus,-u-guucha naaze
uguuchana7,jzd,ruguucha'nà',v,ND;RLC,vA:caus,-u-guucha=na*7
uguudaguchachi7,jzd,ruguuda' guchachí',v,EJG;RLC,vA:caus,-u-guuda # gu-chachi!7
uguudaike,jzd,ruguuda' ique,v,EJG;RLC,vA:caus,-u-guuda # ike
ukaache,jzd,rucaachè',v,EJG;JLC;ND;RGL;VP,vA:caus,-u-k.aache*
ukaachi,jzd,rucaachi',v,EJG;JLC;ND;RGL;VP,vA:caus,-u-k.aachi
ukapadyuzhi,jzd,rucapàdiúxi,v,JLC;RLC,vA:caus,-u-k.apa*=dyu!zhi
ukenda,jzd,ruquenda,v,JLC,vA:caus,-u-k.enda
ukidxa,jzd,ruquìdxa,v,EJG;RLC;VP,vA:caus,-u-k.i*dxa
ukidxi,jzd,ruquidxì,v,EJG;JLC;RGL;RLC;VP,vA:caus,-u-k.idxi*
ukiiba,jzd,ruquiiba',v,ND;VOT,vA:caus,-u-k.iiba
ukiibalu,jzd,ruquiiba' lu,v,RLC,vA:caus,-u-k.iiba # lu
ukiichi,jzd,ruquiichi',v,EJG;JAR;RGL;RLC;VP,vA:caus,-u-k.iichi
ukiichinyee,jzd,ruquiichi'ñee,v,JLC,vA:caus,-u-k.iichi=nyee
ukiidi,jzd,ruquiidi',v,EJG;JLC;ND;RGL;RLC;VP,vA:caus,-u-k.iidi
ukiidxi,jzd,ruquiidxì',v,EJG;JLC;RLC;VP,vA:caus,-u-k.iidxi*
ukiidxina7,jzd,ruquiidxì' nà',v,EJG,vA:caus,-u-k.iidxi* # na*7
ukinde,jzd,ruquinde,v,JLC,vA:caus,-u-k.inde
ukite,jzd,ruquite,v,JLC;RLC,vA:caus,-u-k.ite
ukizhe,jzd,ruquixe,v,EJG;JLC;ND;RGL;RLC;VP,vA:caus,-u-k.izhe
ukuude,jzd,rucuudè',v,EJG;JLC;ND;VP,vA:caus,-u-k.uude*
ukuudxi,jzd,rucuudxì',v,EJG;RGL;RLC;VP,vA:caus,-u-k.uudxi*
ukuunye,jzd,rucuuñe',v,EJG;JLC;ND;RLC;VP,vA:caus,-u-k.uunye
ukwa7kilari,jzd,rucua'qui' (lari),v,EJG;JLC;RLC;VP,vA:caus,-u-k.w.a7ki # (lari)
ukwindi7,jzd,rucuindì',v,JLC,vA:caus,-u-k.w.i=ndi*7
ukwaanila7dxi,jzd,rucuaani' la'dxi',v,RLC,vA:caus,-u-k.waani # la7dxi
ukwiidxi,jzd,rucuiidxi',v,EJG;JLC;RGL;RLC;VP,vA:caus,-u-k.wiidxi
uka,jzd,ruca,v,EJG;JLC;ND;RLC;VP,vA:caus,-u-ka
ukarwaa,jzd,ruca ruaa,v,RLC;VP,vA:caus,-u-ka rwaa
ukaa,jzd,rucaa,v,EJG;JLC;ND;RGL;VP,vA:caus,-u-kaa
ukaaaguzha7,jzd,rucaa aguxá',v,EJG;JLC;RLC,vA:caus,-u-kaa # aguzha!7
ukaabyeke,jzd,rucaa bieque,v,EJG;JLC;VP,vA:caus,-u-kaa # b.y.eke
ukaabakaanda,jzd,rucaa bacaanda',v,JLC;RLC,vA:caus,-u-kaa # ba-kaanda
ukaabi,jzd,rucaa bi,v,EJG;JLC;RLC;VP,vA:caus,-u-kaa # bi
ukaabixiidi,jzd,rucaa bixhiidi',v,RLC,vA:caus,-u-kaa # bi-xiidi
ukaabuton,jzd,rucaa butón,v,JLC;RLC,vA:caus,-u-kaa # bu-to!n
ukaadaa,jzd,rucaa daa,v,EJG;JLC;RLC,vA:caus,-u-kaa # daa
ukaadiidxa,jzd,rucaa diidxa',v,JLC;RLC,vA:caus,-u-kaa # diidxa
ukaafluuchi,jzd,rucaa fluùchì',v,RLC,vA:caus,-u-kaa # fluu*chi*
ukaagelagidinyee,jzd,rucaa guela guidi (ñee),v,EJG;JLC;RLC,vA:caus,-u-kaa # gela gidi (nyee)
ukaageta,jzd,rucaa gueta,v,JLC;RLC,vA:caus,-u-kaa # geta
ukaagi7chi,jzd,rucaa gui'chi',v,EJG;JLC;RLC;VP,vA:caus,-u-kaa # gi7chi
ukaagiiba,jzd,rucaa guiiba',v,EJG;JLC;RLC,vA:caus,-u-kaa # giiba
ukaagiibayu7du,jzd,rucaa guiiba'yu'du',v,EJG;JLC,vA:caus,-u-kaa # giiba=yu7.du
ukaagizhi,jzd,rucaa guixi,v,EJG,vA:caus,-u-kaa # gizhi
ukaaklabu,jzd,rucaa klàbu,v,RLC,vA:caus,-u-kaa # kla*bu
ukaaridxi,jzd,rucaa ridxi,v,EJG;JLC;VP,vA:caus,-u-kaa # r.idxi
ukaaridxilugiiba,jzd,rucaa ridxi lu guiiba',v,JLC,vA:caus,-u-kaa # ridxi lu giiba
ukaaseyu,jzd,rucaa sèyu,v,JLC;RLC,vA:caus,-u-kaa # se*yu
ukaaxtiipi,jzd,rucaa xtiìpì',v,EJG;RGL;RLC,vA:caus,-u-kaa # x.tii*pi*
ukaayaga,jzd,rucaa yaga,v,EJG;RLC,vA:caus,-u-kaa # yaga
ukaayuuba,jzd,rucaa yuuba',v,RLC,vA:caus,-u-kaa # yuuba
ukaazhibeewu,jzd,rucaa xì beeù',v,,vA:caus,-u-kaa # zhi* beewu*
ukaazhigidxa7,jzd,rucaa xiguidxá',v,RLC,vA:caus,-u-kaa # zhi+ gidxa!7
ukaachisu,jzd,rucaa chísu,v,JLC;RLC,vA:caus,-u-kaa chi!su
ukaafyerru,jzd,rucaa fièrru,v,RGL;RLC,vA:caus,-u-kaa fye*rru
ukaagidibo7konyee,jzd,rucaa guidi bo'co ñee,v,VP,vA:caus,-u-kaa gidi bo7ko nyee
ukaainyeksyon,jzd,rucaa inyección,v,VP,vA:caus,-u-kaa inyek-syo!n
ukaajalon,jzd,rucaa jalón,v,JLC,vA:caus,-u-kaa ja-lo!n
ukaala7dxi,jzd,rucaa la'dxi',v,EJG;JLC;VP,vA:caus,-u-kaa la7dxi
ukaana7doo,jzd,rucaanà' doo,v,EJG,vA:caus,-u-kaa na*7 doo
ukaaraya,jzd,rucaa ràya,v,JLC;RLC,vA:caus,-u-kaa ra*ya
ukaaremyendu,jzd,rucaa remièndu,v,JLC;RGL;RLC,vA:caus,-u-kaa remye*ndu
ukaaruuchi,jzd,rucaa ruùchì,v,EJG,vA:caus,-u-kaa ruu*chi*
ukaasyerre,jzd,rucaa sièrre,v,RGL;RLC,vA:caus,-u-kaa sye*rre
ukaatranka,jzd,rucaa trànca,v,JLC;RLC,vA:caus,-u-kaa tra*nka
ukaadeche,jzd,rucaadeche,v,JLC,vA:caus,-u-kaa=deche
ukaadoo,jzd,rucaadoo,v,EJG;JLC;RLC,vA:caus,-u-kaa=doo
ukaadyaga,jzd,rucaadiaga,v,EJG;JLC;RGL;RLC;VP,vA:caus,-u-kaa=dyaga
ukaagi,jzd,rucaagui,v,EJG;JLC;RGL;RLC;VP,vA:caus,-u-kaa=gi
ukaaike,jzd,rucaaique,v,EJG;RLC,vA:caus,-u-kaa=ike
ukaalu,jzd,rucaalu',v,JLC,vA:caus,-u-kaa=lu
ukaana7,jzd,rucaanà',v,EJG;JLC;RGL;RLC;VP,vA:caus,-u-kaa=na*7
ukaandaani,jzd,rucaandaani',v,JLC,vA:caus,-u-kaa=ndaani
ukaarwaa,jzd,rucaaruaa,v,EJG;RLC,vA:caus,-u-kaa=rwaa
ukaati7xi,jzd,rucaati'xhi',v,JLC;RLC,vA:caus,-u-kaa=ti7xi
ukaaxki7,jzd,rucaaxqui',v,JLC,vA:caus,-u-kaa=x.ki7
ukaaxtiidxa,jzd,rucaaxtiidxa',v,EJG,vA:caus,-u-kaa=x.tiidxa
ukaayu,jzd,rucaayu',v,JLC;RLC,vA:caus,-u-kaa=yu
ukaazhii,jzd,rucaaxii,v,EJG;RLC,vA:caus,-u-kaa=zhii
ukaabi-2,jzd,rucaabì',v,EJG;JLC;ND;RLC;VP,vA:caus,-u-kaabi*
ukaachige7tu,jzd,rucaachi' gue'tu',v,EJG;JLC;VP,vA:caus,-u-kaachi # ge7tu
ukaachiskwela,jzd,rucaachi' scuèla,v,VP,vA:caus,-u-kaachi skwe*la
ukaachilu,jzd,rucaachi'lu,v,EJG;JLC;ND;RLC;VP,vA:caus,-u-kaachi=lu
ukaachiludeskwela,jzd,rucaachi'lu de scuèla,v,JLC;RLC;VP,vA:caus,-u-kaachi=lu de+ skwe*la
ukaanarwaa,jzd,rucaana' ruaa,v,EJG,vA:caus,-u-kaana rwaa
ukabi,jzd,rucabì,v,ND,vA:caus,-u-kabi*
ukawi,jzd,rucahuì,v,JLC;RLC,vA:caus,-u-kawi*
uketa,jzd,ruqueta,v,RLC;VP,vA:caus,-u-keta
ukichi,jzd,ruquichi,v,JLC;RLC;VP,vA:caus,-u-kichi
ukidxina7,jzd,ruquidxìnà',v,JLC;RLC,vA:caus,-u-kidxi*=na*7
ukii,jzd,ruquiì,v,EJG;ND;VP,vA:caus,-u-kii*
ukiichilaya,jzd,ruquiichi'laya,v,RGL,vA:caus,-u-kiichi=laya
ukiinde,jzd,ruquiindè',v,EJG;JLC;ND;RLC;VP,vA:caus,-u-kiinde*
ukiindela7dxi,jzd,ruquiindè'la'dxi',v,EJG;JLC;ND;RLC;VP,vA:caus,-u-kiinde*=la7dxi
ukuuxu,jzd,rucuuxhu',v,EJG,vA:caus,-u-kuuxu
ukwaani,jzd,rucuaani',v,EJG;ND;RGL;RLC;VP,vA:caus,-u-kw.aani
ukweeza,jzd,rucueezà',v,EJG;JLC;RGL;VP,vA:caus,-u-kw.eeza*
ukweezarwaa,jzd,rucueezà' ruaa,v,JLC,vA:caus,-u-kw.eeza* # rwaa
ukweezadxi,jzd,rucueeza'dxì,v,JLC,vA:caus,-u-kw.eeza=dxi*
ukwi,jzd,rucui,v,EJG;JLC;ND;RGL;RLC;VC;VP,vA:caus,-u-kw.i
ukwibataadenrlc09,jzd,rucui bataà,v,JLC,vA:caus,-u-kw.i # ba-taa* DEN:RLC09
ukwide,jzd,rucui de,v,RLC,vA:caus,-u-kw.i # de
ukwigidi,jzd,rucui guidi,v,RLC,vA:caus,-u-kw.i # gidi
ukwigizhi,jzd,rucui guixi,v,JLC;RLC;VC,vA:caus,-u-kw.i # gizhi
ukwindani,jzd,rucui ndàni,v,EJG;JLC;RLC;VP,vA:caus,-u-kw.i # nda*ni
ukwinduni,jzd,rucui ndùni,v,JLC;RLC,vA:caus,-u-kw.i # ndu*ni
ukwiyoo,jzd,rucui yoo,v,EJG;JLC,vA:caus,-u-kw.i # yoo
ukwisa,jzd,rucui sa,v,VC,vA:caus,-u-kw.i sa
ukwizha7na,jzd,rucui xa'na',v,VC,vA:caus,-u-kw.i zha7na
ukwidxi,jzd,rucuidxì,v,EJG;JLC;RLC,vA:caus,-u-kw.i=dxi*
ukwixke7la,jzd,rucuixque'la',v,EJG;RLC,vA:caus,-u-kw.i=x.ke7la
ukwaagu,jzd,rucuaagù',v,EJG;VP,vA:caus,-u-kwaagu*
ukwaana,jzd,rucuaanà',v,EJG;ND;VC,vA:caus,-u-kwaana*
ukwaata,jzd,rucuaata',v,EJG,vA:caus,-u-kwaata
ukwaku,jzd,rucuacu,v,JLC,vA:caus,-u-kwaku
ulidxi,jzd,rulidxi,v,EJG;JLC;ND;VP,vA:caus,-u-l.idxi
ula,jzd,rula,v,EJG;JLC;ND;RLC;VP,vA:caus,-u-la
ulaa,jzd,rulaa,v,EJG;ND;RLC;VP,vA:caus,-u-laa
ulaadiidxa,jzd,rulaa diidxa',v,VC,vA:caus,-u-laa # diidxa
ulaaike,jzd,rulaaique,v,EJG;RLC;VC,vA:caus,-u-laa=ike
ulaana7,jzd,rulaanà',v,EJG;RGL;VP,vA:caus,-u-laa=na*7
ulaanyee,jzd,rulaañee,v,EJG;RLC;VC,vA:caus,-u-laa=nyee
ulaazha7na,jzd,rulaaxa'na',v,EJG;RLC;VC,vA:caus,-u-laa=zha7na
ulaazhi7ke,jzd,rulaaxi'que',v,VC,vA:caus,-u-laa=zhi7ke
ulaazhii,jzd,rulaaxii,v,VC,vA:caus,-u-laa=zhii
ulaadxi,jzd,rulaadxi',v,EJG;JLC;RLC;VP,vA:caus,-u-laadxi
ulaadxibi7ku,jzd,rulaadxi' bi'cu',v,EJG,vA:caus,-u-laadxi # bi7ku
ulaaga,jzd,rulaaga',v,EJG;JLC;RLC,vA:caus,-u-laaga
ulaaya,jzd,rulaayà',v,EJG,vA:caus,-u-laaya*
ulabi,jzd,rulabi,v,EJG;JLC;RGL;RLC;VP,vA:caus,-u-labi
ule,jzd,rule,v,ND;RGL;RLC,vA:caus,-u-le
uleyu,jzd,rule yu,v,EJG,vA:caus,-u-le yu
ulwi7,jzd,rului',v,EJG;JLC;ND;RGL;RLC;VP,vA:caus,-u-lwi7
ulwi7na7,jzd,rului' nà',v,RLC,vA:caus,-u-lwi7 na*7
ulwi7la7dxi,jzd,rului'la'dxi',v,EJG;JLC;RLC;VP,vA:caus,-u-lwi7=la7dxi
undaate,jzd,rundaate',v,EJG;JLC;RGL;RLC;VP,vA:caus,-u-n.daate
uniibi,jzd,runiibì',v,EJG;JLC;ND;RGL;RLC;VP,vA:caus,-u-n.iibi*
uniibiike,jzd,runiibì' ique,v,RGL;RLC,vA:caus,-u-n.iibi* # ike
undaawa,jzd,rundaahuà',v,EJG;RLC;VP,vA:caus,-u-nd.aawa*
undiibi,jzd,rundiibì',v,EJG;JLC;RGL;RLC;VP,vA:caus,-u-nd.iibi*
unduuba,jzd,runduuba',v,EJG;JLC;RGL;VP,vA:caus,-u-nd.uuba
unduuzhe,jzd,runduuxe',v,EJG;RGL;RLC;VP,vA:caus,-u-nd.uuzhe
undaa,jzd,rundaa,v,EJG;ND;RGL;RLC;VP,vA:caus,-u-ndaa
undaacha,jzd,rundaacha',v,JLC;RLC;VP,vA:caus,-u-ndaacha
undaachi,jzd,rundaachi',v,EJG;JLC;ND;RGL;RLC;VP,vA:caus,-u-ndaachi
undaachiskwella,jzd,rundaachi' scuèla,v,EJG;JLC;RLC,vA:caus,-u-ndaachi # skwe*lla
undaatexxiinya,jzd,rundaate' xhiiña',v,EJG;RLC,vA:caus,-u-ndaate # x.xiinya
undapizhii,jzd,rundapí'xii,v,EJG;JLC;ND;RLC;VP,vA:caus,-u-ndapi!'=zhii
undapi7,jzd,rundapí',v,EJG;JLC;ND;VP,vA:caus,-u-ndapi!7
undapi7dxita,jzd,rundapí'dxita,v,EJG;ND,vA:caus,-u-ndapi!7=dxita
undapi7kwaana,jzd,rundapí'cuaana',v,EJG;ND,vA:caus,-u-ndapi!7=kwaana
undizi7,jzd,rundizí',v,EJG;RLC,vA:caus,-u-ndizi!7
undubi,jzd,rundubì,v,EJG;JLC;RGL;RLC;VP,vA:caus,-u-ndubi*
undupixkaana,jzd,rundupì xcaana',v,EJG,vA:caus,-u-ndupi* x.kaana
une7,jzd,rune',v,EJG;JLC;ND;RLC;VP,vA:caus,-u-ne7
ungi,jzd,runguì,v,EJG,vA:caus,-u-ngi*
uniibidxacha,jzd,runiibì'dxacha,v,EJG;RLC,vA:caus,-u-niibi*=dxacha
uniibinyee,jzd,runiibì'ñee,v,JLC;RLC,vA:caus,-u-niibi*=nyee
uniidxi,jzd,runiidxì',v,EJG;JLC;ND;RGL;RLC;VC;VP,vA:caus,-u-niidxi*
uniipi,jzd,runiipì',v,EJG;JLC;ND;RGL;RLC;VP,vA:caus,-u-niipi*
uniti,jzd,runiti,v,EJG;JLC;ND;RLC;VP,vA:caus,-u-niti
unitigendabyaani,jzd,runiti guendabiaani',v,EJG;ND,vA:caus,-u-niti # genda+ b.y.aani
unitilu,jzd,runiti lu,v,EJG,vA:caus,-u-niti # lu
unitilu-2,jzd,runitilu,v,EJG;JLC;ND;RLC;VP,vA:caus,-u-niti=lu
uraa,jzd,ruraà,v,EJG;JLC;ND;RGL;RLC;VP,vA:caus,-u-raa*
uraaladi,jzd,ruraà ladi,v,JLC;RLC,vA:caus,-u-raa* # ladi
uraayaga,jzd,ruraà yaga,v,EJG;RLC,vA:caus,-u-raa* # yaga
urii,jzd,rurii,v,EJG;ND;VC,vA:caus,-u-rii
uriixi,jzd,ruriixhì',v,EJG;ND,vA:caus,-u-riixi*
uroote,jzd,rurootè',v,EJG;ND;RLC,vA:caus,-u-roote*
uru,jzd,ruru,v,EJG;JLC;ND;RGL;RLC;VP,vA:caus,-u-ru
uruba,jzd,rurubà,v,EJG;RGL;RLC;VP,vA:caus,-u-ruba*
urubanisa,jzd,rurubà nisa,v,EJG;RLC,vA:caus,-u-ruba* # nisa
urubanisandaaya,jzd,rurubà nisa ndaaya',v,EJG,vA:caus,-u-ruba* # nisa ndaaya
uruuxa,jzd,ruruuxha',v,EJG;JLC;ND;VP,vA:caus,-u-ruuxa
usyakadxita,jzd,rusiaca dxita,v,EJG;JLC;VP,vA:caus,-u-s-y.aka dxita
usaana,jzd,rusaanà',v,EJG;RGL;RLC;VP,vA:caus,-u-s.aana*
usaanaka,jzd,rusaanà'cà,v,JLC;RLC,vA:caus,-u-s.aana* +ka*
usaanata7,jzd,rusaanà'ta',v,,vA:caus,-u-s.aana*=ta7
usaba,jzd,rusaba,v,EJG;JLC;RGL;RLC;VP,vA:caus,-u-s.aba
usabayaga,jzd,rusaba yaga,v,VC,vA:caus,-u-s.aba # yaga
usabazhiinyi,jzd,rusaba xiiñi',v,VC,vA:caus,-u-s.aba # zhiinyi
usabana7,jzd,rusabanà',v,RLC,vA:caus,-u-s.aba=na*7
useegu,jzd,ruseegu',v,EJG;RLC;VP,vA:caus,-u-s.eegu
useeguyoo,jzd,ruseegu'yoo,v,EJG;JLC;VP,vA:caus,-u-s.eegu=yoo
useenda,jzd,ruseenda',v,EJG;RGL;RLC;VP,vA:caus,-u-s.eenda
useendagendare7,jzd,ruseenda' guendare',v,EJG;RLC,vA:caus,-u-s.eenda # genda+ r.e7
useendaxpinni,jzd,ruseenda' xpinnì,v,EJG;RLC,vA:caus,-u-s.eenda # x.pinni*
useendazhwaana,jzd,ruseenda' xuaana',v,EJG;RLC,vA:caus,-u-s.eenda # zhwaana
useendagidxi,jzd,ruseenda'guìdxì,v,EJG;RLC;VC,vA:caus,-u-s.eenda=gi*dxi*
useendakaa,jzd,ruseenda'caà,v,VC,vA:caus,-u-s.eenda=kaa*
useendatidxi,jzd,ruseenda'tìdxì,v,JLC;RLC;VP,vA:caus,-u-s.eenda=ti*dxi*
useendayubi,jzd,ruseenda'yùbì,v,EJG;RLC,vA:caus,-u-s.eenda=yu*bi*
usiidi,jzd,rusiidi',v,EJG;ND;RGL;RLC;VP,vA:caus,-u-s.iidi
uswi7,jzd,rusui',v,JLC;RGL;RLC;VP,vA:caus,-u-s.wi7
